UID,FriendlyPointNameV2,FriendlyPointNameV3,LocationTag,EquipTag,PointTag,Category,Class
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-1 FX1.AHU 1-2.RETURN AIR TEMP.Present Value,BA AHU 1-2 ReturnAirTemp,BA_AHU_1_2_ReturnAirTemp,BA,AHU 1-2,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-1 FX1.AHU 1-2.STATIC PRESSURE.Present Value,BA AHU 1-2 StaticPressure,BA_AHU_1_2_StaticPressure,BA,AHU 1-2,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 1-1 FX1.AHU 1-2.SUPPLY AIR TEMP.Present Value,BA AHU 1-2 SupplyAirTemp,BA_AHU_1_2_SupplyAirTemp,BA,AHU 1-2,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 2-2 FX1.AHU 2-1.CO2.Present Value,BA AHU 2-1 CO2Sensor,BA_AHU_2_1_CO2Sensor,BA,AHU 2-1,CO2Sensor,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 2-2 FX1.AHU 2-1.RH.Present Value,BA AHU 2-1 Humidity,BA_AHU_2_1_Humidity,BA,AHU 2-1,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 2-2 FX1.AHU 2-1.OFFCOIL TEMP.Present Value,BA AHU 2-1 OffcoilTemp,BA_AHU_2_1_OffcoilTemp,BA,AHU 2-1,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 2-2 FX1.AHU 2-1.STATUS.Present Value,BA AHU 2-1 OnOffStatus,BA_AHU_2_1_OnOffStatus,BA,AHU 2-1,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 2-2 FX1.AHU 2-1.RETURN AIR TEMP.Present Value,BA AHU 2-1 ReturnAirTemp,BA_AHU_2_1_ReturnAirTemp,BA,AHU 2-1,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 2-2 FX1.AHU 2-1.STATIC PRESSURE.Present Value,BA AHU 2-1 StaticPressure,BA_AHU_2_1_StaticPressure,BA,AHU 2-1,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 2-2 FX1.AHU 2-1.SUPPLY AIR TEMP.Present Value,BA AHU 2-1 SupplyAirTemp,BA_AHU_2_1_SupplyAirTemp,BA,AHU 2-1,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 3-2 FX1.AHU 3-1.CO2.Present Value,BA AHU 3-1 CO2Sensor,BA_AHU_3_1_CO2Sensor,BA,AHU 3-1,CO2Sensor,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 3-2 FX1.AHU 3-1.RH.Present Value,BA AHU 3-1 Humidity,BA_AHU_3_1_Humidity,BA,AHU 3-1,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 3-2 FX1.AHU 3-1.OFFCOIL TEMP.Present Value,BA AHU 3-1 OffcoilTemp,BA_AHU_3_1_OffcoilTemp,BA,AHU 3-1,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 3-2 FX1.AHU 3-1.STATUS.Present Value,BA AHU 3-1 OnOffStatus,BA_AHU_3_1_OnOffStatus,BA,AHU 3-1,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 3-2 FX1.AHU 3-1.RETURN AIR TEMP.Present Value,BA AHU 3-1 ReturnAirTemp,BA_AHU_3_1_ReturnAirTemp,BA,AHU 3-1,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 3-2 FX1.AHU 3-1.STATIC PRESSURE.Present Value,BA AHU 3-1 StaticPressure,BA_AHU_3_1_StaticPressure,BA,AHU 3-1,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 3-2 FX1.AHU 3-1.SUPPLY AIR TEMP.Present Value,BA AHU 3-1 SupplyAirTemp,BA_AHU_3_1_SupplyAirTemp,BA,AHU 3-1,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-3 FX1.AHU 5-1A.STATIC PRESSURE.Present Value,BA AHU 5-1A CO2Sensor,BA_AHU_5_1A_CO2Sensor,BA,AHU 5-1A,CO2Sensor,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-3 FX1.AHU 5-1A.RH.Present Value,BA AHU 5-1A Humidity,BA_AHU_5_1A_Humidity,BA,AHU 5-1A,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-3 FX1.AHU 5-1A.OFFCOIL TEMP.Present Value,BA AHU 5-1A OffcoilTemp,BA_AHU_5_1A_OffcoilTemp,BA,AHU 5-1A,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-3 FX1.AHU 5-1A.STATUS.Present Value,BA AHU 5-1A OnOffStatus,BA_AHU_5_1A_OnOffStatus,BA,AHU 5-1A,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-3 FX1.AHU 5-1A.RETURN AIR TEMP.Present Value,BA AHU 5-1A ReturnAirTemp,BA_AHU_5_1A_ReturnAirTemp,BA,AHU 5-1A,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-3 FX1.AHU 5-1A.STATIC PRESSURE.Present Value,BA AHU 5-1A StaticPressure,BA_AHU_5_1A_StaticPressure,BA,AHU 5-1A,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-3 FX1.AHU 5-1A.SUPPLY AIR TEMP.Present Value,BA AHU 5-1A SupplyAirTemp,BA_AHU_5_1A_SupplyAirTemp,BA,AHU 5-1A,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-4 FX1.AHU 5-1B.CO2.Present Value,BA AHU 5-1B CO2Sensor,BA_AHU_5_1B_CO2Sensor,BA,AHU 5-1B,CO2Sensor,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-4 FX1.AHU 5-1B.RH.Present Value,BA AHU 5-1B Humidity,BA_AHU_5_1B_Humidity,BA,AHU 5-1B,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-4 FX1.AHU 5-1B.OFFCOIL TEMP.Present Value,BA AHU 5-1B OffcoilTemp,BA_AHU_5_1B_OffcoilTemp,BA,AHU 5-1B,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-4 FX1.AHU 5-1B.STATUS.Present Value,BA AHU 5-1B OnOffStatus,BA_AHU_5_1B_OnOffStatus,BA,AHU 5-1B,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-4 FX1.AHU 5-1B.RETURN AIR TEMP.Present Value,BA AHU 5-1B ReturnAirTemp,BA_AHU_5_1B_ReturnAirTemp,BA,AHU 5-1B,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-4 FX1.AHU 5-1B.STATIC PRESSURE.Present Value,BA AHU 5-1B StaticPressure,BA_AHU_5_1B_StaticPressure,BA,AHU 5-1B,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-4 FX1.AHU 5-1B.SUPPLY AIR TEMP.Present Value,BA AHU 5-1B SupplyAirTemp,BA_AHU_5_1B_SupplyAirTemp,BA,AHU 5-1B,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-5 FX1.AHU 5-1C.CO2.Present Value,BA AHU 5-1C CO2Sensor,BA_AHU_5_1C_CO2Sensor,BA,AHU 5-1C,CO2Sensor,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-5 FX1.AHU 5-1C.RH.Present Value,BA AHU 5-1C Humidity,BA_AHU_5_1C_Humidity,BA,AHU 5-1C,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-5 FX1.AHU 5-1C.OFFCOIL TEMP.Present Value,BA AHU 5-1C OffcoilTemp,BA_AHU_5_1C_OffcoilTemp,BA,AHU 5-1C,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-5 FX1.AHU 5-1C.STATUS.Present Value,BA AHU 5-1C OnOffStatus,BA_AHU_5_1C_OnOffStatus,BA,AHU 5-1C,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-5 FX1.AHU 5-1C.RETURN AIR TEMP.Present Value,BA AHU 5-1C ReturnAirTemp,BA_AHU_5_1C_ReturnAirTemp,BA,AHU 5-1C,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-5 FX1.AHU 5-1C.STATIC PRESSURE.Present Value,BA AHU 5-1C StaticPressure,BA_AHU_5_1C_StaticPressure,BA,AHU 5-1C,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-5 FX1.AHU 5-1C.SUPPLY AIR TEMP.Present Value,BA AHU 5-1C SupplyAirTemp,BA_AHU_5_1C_SupplyAirTemp,BA,AHU 5-1C,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-6 FX1.AHU 5-1D.CO2.Present Value,BA AHU 5-1D CO2Sensor,BA_AHU_5_1D_CO2Sensor,BA,AHU 5-1D,CO2Sensor,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-6 FX1.AHU 5-1D.RH.Present Value,BA AHU 5-1D Humidity,BA_AHU_5_1D_Humidity,BA,AHU 5-1D,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-6 FX1.AHU 5-1D.OFFCOIL TEMP.Present Value,BA AHU 5-1D OffcoilTemp,BA_AHU_5_1D_OffcoilTemp,BA,AHU 5-1D,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-6 FX1.AHU 5-1D.STATUS.Present Value,BA AHU 5-1D OnOffStatus,BA_AHU_5_1D_OnOffStatus,BA,AHU 5-1D,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-6 FX1.AHU 5-1D.RETURN AIR TEMP.Present Value,BA AHU 5-1D ReturnAirTemp,BA_AHU_5_1D_ReturnAirTemp,BA,AHU 5-1D,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-6 FX1.AHU 5-1D.STATIC PRESSURE.Present Value,BA AHU 5-1D StaticPressure,BA_AHU_5_1D_StaticPressure,BA,AHU 5-1D,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-6 FX1.AHU 5-1D.SUPPLY AIR TEMP.Present Value,BA AHU 5-1D SupplyAirTemp,BA_AHU_5_1D_SupplyAirTemp,BA,AHU 5-1D,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-2 FX1.PAHU 5-2.RH.Present Value,BA PAHU 5-2 Humidity,BA_PAHU_5_2_Humidity,BA,PAHU 5-2,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-2 FX1.PAHU 5-2.OFFCOIL TEMP.Present Value,BA PAHU 5-2 OffcoilTemp,BA_PAHU_5_2_OffcoilTemp,BA,PAHU 5-2,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-2 FX1.PAHU 5-2.STATUS.Present Value,BA PAHU 5-2 OnOffStatus,BA_PAHU_5_2_OnOffStatus,BA,PAHU 5-2,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-2 FX1.PAHU 5-2.STATIC PRESSURE.Present Value,BA PAHU 5-2 StaticPressure,BA_PAHU_5_2_StaticPressure,BA,PAHU 5-2,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 5-2 FX1.PAHU 5-2.SUPPLY AIR TEMP.Present Value,BA PAHU 5-2 SupplyAirTemp,BA_PAHU_5_2_SupplyAirTemp,BA,PAHU 5-2,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX1.PAHU 6-1.RH.Present Value,BA PAHU 6-1 Humidity,BA_PAHU_6_1_Humidity,BA,PAHU 6-1,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX1.PAHU 6-1.OFFCOIL TEMP.Present Value,BA PAHU 6-1 OffcoilTemp,BA_PAHU_6_1_OffcoilTemp,BA,PAHU 6-1,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX1.PAHU 6-1.STATUS.Present Value,BA PAHU 6-1 OnOffStatus,BA_PAHU_6_1_OnOffStatus,BA,PAHU 6-1,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX1.PAHU 6-1.STATIC PRESSURE.Present Value,BA PAHU 6-1 StaticPressure,BA_PAHU_6_1_StaticPressure,BA,PAHU 6-1,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX1.PAHU 6-1.SUPPLY AIR TEMP.Present Value,BA PAHU 6-1 SupplyAirTemp,BA_PAHU_6_1_SupplyAirTemp,BA,PAHU 6-1,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX2.PAHU 6-2.RH.Present Value,BA PAHU 6-2 Humidity,BA_PAHU_6_2_Humidity,BA,PAHU 6-2,Humidity,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX2.PAHU 6-2.OFFCOIL TEMP.Present Value,BA PAHU 6-2 OffcoilTemp,BA_PAHU_6_2_OffcoilTemp,BA,PAHU 6-2,OffcoilTemp,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX2.PAHU 6-2.STATUS.Present Value,BA PAHU 6-2 OnOffStatus,BA_PAHU_6_2_OnOffStatus,BA,PAHU 6-2,OnOffStatus,Airside,Binary
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX2.PAHU 6-2.STATIC PRESSURE.Present Value,BA PAHU 6-2 StaticPressure,BA_PAHU_6_2_StaticPressure,BA,PAHU 6-2,StaticPressure,Airside,Analog
PC100818B:NAE55-6/Field Bus1.DDC EB2 R-1 FX2.PAHU 6-2.SUPPLY AIR TEMP.Present Value,BA PAHU 6-2 SupplyAirTemp,BA_PAHU_6_2_SupplyAirTemp,BA,PAHU 6-2,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX1.AHU 1-1.CO2.Present Value,BB AHU 1-1 CO2Sensor,BB_AHU_1_1_CO2Sensor,BB,AHU 1-1,CO2Sensor,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX1.AHU 1-1.RH.Present Value,BB AHU 1-1 Humidity,BB_AHU_1_1_Humidity,BB,AHU 1-1,Humidity,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX1.AHU 1-1.OFFCOIL TEMP.Present Value,BB AHU 1-1 OffcoilTemp,BB_AHU_1_1_OffcoilTemp,BB,AHU 1-1,OffcoilTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX1.AHU 1-1.STATUS.Present Value,BB AHU 1-1 OnOffStatus,BB_AHU_1_1_OnOffStatus,BB,AHU 1-1,OnOffStatus,Airside,Binary
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX1.AHU 1-1.RETURN AIR TEMP.Present Value,BB AHU 1-1 ReturnAirTemp,BB_AHU_1_1_ReturnAirTemp,BB,AHU 1-1,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX1.AHU 1-1.STATIC PRESSURE.Present Value,BB AHU 1-1 StaticPressure,BB_AHU_1_1_StaticPressure,BB,AHU 1-1,StaticPressure,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX1.AHU 1-1.SUPPLY AIR TEMP.Present Value,BB AHU 1-1 SupplyAirTemp,BB_AHU_1_1_SupplyAirTemp,BB,AHU 1-1,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-11 FX1.AHU 1-2.CO2.Present Value,BB AHU 1-2 CO2Sensor,BB_AHU_1_2_CO2Sensor,BB,AHU 1-2,CO2Sensor,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-11 FX1.AHU 1-2.RH.Present Value,BB AHU 1-2 Humidity,BB_AHU_1_2_Humidity,BB,AHU 1-2,Humidity,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-11 FX1.AHU 1-2.OFFCOIL TEMP.Present Value,BB AHU 1-2 OffcoilTemp,BB_AHU_1_2_OffcoilTemp,BB,AHU 1-2,OffcoilTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-11 FX1.AHU 1-2.STATUS.Present Value,BB AHU 1-2 OnOffStatus,BB_AHU_1_2_OnOffStatus,BB,AHU 1-2,OnOffStatus,Airside,Binary
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-11 FX1.AHU 1-2.RETURN AIR TEMP.Present Value,BB AHU 1-2 ReturnAirTemp,BB_AHU_1_2_ReturnAirTemp,BB,AHU 1-2,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-11 FX1.AHU 1-2.STATIC PRESSURE.Present Value,BB AHU 1-2 StaticPressure,BB_AHU_1_2_StaticPressure,BB,AHU 1-2,StaticPressure,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-11 FX1.AHU 1-2.SUPPLY AIR TEMP.Present Value,BB AHU 1-2 SupplyAirTemp,BB_AHU_1_2_SupplyAirTemp,BB,AHU 1-2,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-13 FX1.AHU 1-3.CO2.Present Value,BB AHU 1-3 CO2Sensor,BB_AHU_1_3_CO2Sensor,BB,AHU 1-3,CO2Sensor,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-13 FX1.AHU 1-3.RH.Present Value,BB AHU 1-3 Humidity,BB_AHU_1_3_Humidity,BB,AHU 1-3,Humidity,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-13 FX1.AHU 1-3.OFFCOIL TEMP.Present Value,BB AHU 1-3 OffcoilTemp,BB_AHU_1_3_OffcoilTemp,BB,AHU 1-3,OffcoilTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-13 FX1.AHU 1-3.STATUS.Present Value,BB AHU 1-3 OnOffStatus,BB_AHU_1_3_OnOffStatus,BB,AHU 1-3,OnOffStatus,Airside,Binary
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-13 FX1.AHU 1-3.RETURN AIR TEMP.Present Value,BB AHU 1-3 ReturnAirTemp,BB_AHU_1_3_ReturnAirTemp,BB,AHU 1-3,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-13 FX1.AHU 1-3.STATIC PRESSURE.Present Value,BB AHU 1-3 StaticPressure,BB_AHU_1_3_StaticPressure,BB,AHU 1-3,StaticPressure,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-13 FX1.AHU 1-3.SUPPLY AIR TEMP.Present Value,BB AHU 1-3 SupplyAirTemp,BB_AHU_1_3_SupplyAirTemp,BB,AHU 1-3,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX2.AHU EXAM.CO2.Present Value,BB AHU EXAM CO2Sensor,BB_AHU_EXAM_CO2Sensor,BB,AHU EXAM,CO2Sensor,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX2.AHU EXAM.RH.Present Value,BB AHU EXAM Humidity,BB_AHU_EXAM_Humidity,BB,AHU EXAM,Humidity,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX2.AHU EXAM.OFFCOIL TEMP.Present Value,BB AHU EXAM OffcoilTemp,BB_AHU_EXAM_OffcoilTemp,BB,AHU EXAM,OffcoilTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX2.AHU EXAM.STATUS.Present Value,BB AHU EXAM OnOffStatus,BB_AHU_EXAM_OnOffStatus,BB,AHU EXAM,OnOffStatus,Airside,Binary
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX2.AHU EXAM.RETURN AIR TEMP.Present Value,BB AHU EXAM ReturnAirTemp,BB_AHU_EXAM_ReturnAirTemp,BB,AHU EXAM,ReturnAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX2.AHU EXAM.STATIC PRESSURE.Present Value,BB AHU EXAM StaticPressure,BB_AHU_EXAM_StaticPressure,BB,AHU EXAM,StaticPressure,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 1-14 FX2.AHU EXAM.SUPPLY AIR TEMP.Present Value,BB AHU EXAM SupplyAirTemp,BB_AHU_EXAM_SupplyAirTemp,BB,AHU EXAM,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX1.PAHU 6-1.RH.Present Value,BB PAHU 6-1 Humidity,BB_PAHU_6_1_Humidity,BB,PAHU 6-1,Humidity,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX1.PAHU 6-1.OFFCOIL TEMP.Present Value,BB PAHU 6-1 OffcoilTemp,BB_PAHU_6_1_OffcoilTemp,BB,PAHU 6-1,OffcoilTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX1.PAHU 6-1.STATUS.Present Value,BB PAHU 6-1 OnOffStatus,BB_PAHU_6_1_OnOffStatus,BB,PAHU 6-1,OnOffStatus,Airside,Binary
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX1.PAHU 6-1.STATIC PRESSURE.Present Value,BB PAHU 6-1 StaticPressure,BB_PAHU_6_1_StaticPressure,BB,PAHU 6-1,StaticPressure,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX1.PAHU 6-1.SUPPLY AIR TEMP.Present Value,BB PAHU 6-1 SupplyAirTemp,BB_PAHU_6_1_SupplyAirTemp,BB,PAHU 6-1,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX2.PAHU 6-2.RH.Present Value,BB PAHU 6-2 Humidity,BB_PAHU_6_2_Humidity,BB,PAHU 6-2,Humidity,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX2.PAHU 6-2.OFFCOIL TEMP.Present Value,BB PAHU 6-2 OffcoilTemp,BB_PAHU_6_2_OffcoilTemp,BB,PAHU 6-2,OffcoilTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX2.PAHU 6-2.STATUS.Present Value,BB PAHU 6-2 OnOffStatus,BB_PAHU_6_2_OnOffStatus,BB,PAHU 6-2,OnOffStatus,Airside,Binary
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX2.PAHU 6-2.STATIC PRESSURE.Present Value,BB PAHU 6-2 StaticPressure,BB_PAHU_6_2_StaticPressure,BB,PAHU 6-2,StaticPressure,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-3 FX2.PAHU 6-2.SUPPLY AIR TEMP.Present Value,BB PAHU 6-2 SupplyAirTemp,BB_PAHU_6_2_SupplyAirTemp,BB,PAHU 6-2,SupplyAirTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-5 FX1.PAHU 6-3.RH.Present Value,BB PAHU 6-3 Humidity,BB_PAHU_6_3_Humidity,BB,PAHU 6-3,Humidity,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-5 FX1.PAHU 6-3.OFFCOIL TEMP.Present Value,BB PAHU 6-3 OffcoilTemp,BB_PAHU_6_3_OffcoilTemp,BB,PAHU 6-3,OffcoilTemp,Airside,Analog
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-5 FX1.PAHU 6-3.STATUS.Present Value,BB PAHU 6-3 OnOffStatus,BB_PAHU_6_3_OnOffStatus,BB,PAHU 6-3,OnOffStatus,Airside,Binary
PC100818B:NAE55-3/Field Bus1.DDC EB1 6-5 FX1.PAHU 6-3.STATIC PRESSURE.Present Value,BB PAHU 6-3 StaticPressure,BB_PAHU_6_3_StaticPressure,BB,PAHU 6-3,StaticPressure,Airside,Analog
